Incorporated City or Town,2020 Decennial Census Population,MGRT Tax Rate
Palmhurst city,"2,601",1.07%
Palmview city,"15,830",2.00%
Pampa city,"16,867",2.00%
Panhandle town,"2,378",0.58%
Panorama Village city,"2,515",1.07%
Pantego town,"2,568",1.07%
Paradise city,475,0.00%
Paris city,"24,476",2.00%
Parker city,"5,462",1.07%
Pasadena city,"151,950",2.00%
Pattison city,547,0.00%
Patton Village city,"1,647",0.58%
Payne Springs town,741,0.00%
Pearland city,"125,828",2.00%
Pearsall city,"7,325",1.07%
Pecan Gap city,178,0.00%
Pecan Hill city,735,0.00%
Pecos city,"12,916",2.00%
Pelican Bay city,"2,049",0.58%
Penelope town,180,0.00%
Penitas city,"6,460",1.07%
Perryton city,"8,492",1.07%
Petersburg city,"1,014",0.58%
Petrolia city,514,0.00%
Petronila city,89,0.00%
Pflugerville city,"65,191",2.00%
Pharr city,"79,715",2.00%
Pilot Point city,"4,381",1.07%
Pine Forest city,499,0.00%
Pine Island town,"1,077",0.58%
Pinehurst city,"2,232",0.58%
Pineland city,888,0.00%
Piney Point Village city,"3,128",1.07%
Pittsburg city,"4,335",1.07%
Plains town,"1,355",0.58%
Plainview city,"20,187",2.00%
Plano city,"285,494",2.00%
Plantersville city,464,0.00%
Pleak village,971,0.00%
Pleasant Valley town,357,0.00%
Pleasanton city,"10,648",2.00%
Plum Grove city,"1,245",0.58%
Point Blank city,643,0.00%
Point city,745,0.00%
Point Comfort city,603,0.00%
Point Venture village,"1,260",0.58%
Ponder town,"2,442",0.58%
Port Aransas city,"2,904",1.07%
Port Arthur city,"56,039",2.00%
Port Isabel city,"5,028",1.07%
Port Lavaca city,"11,557",2.00%
Port Neches city,"13,692",2.00%
Portland city,"20,383",2.00%
Post city,"4,790",1.07%
Post Oak Bend City town,683,0.00%
Poteet city,"2,795",1.07%
Poth town,"1,819",0.58%
Pottsboro town,"2,488",0.58%
Powell town,99,0.00%
Poynor town,287,0.00%
Prairie View city,"8,184",1.07%
Premont city,"2,455",0.58%
Presidio city,"3,264",1.07%
Primera town,"5,257",1.07%
Princeton city,"17,027",2.00%
